State,Latitude,Longitude,Gas_Price
Alabama,32.806671,-86.79113,2.438
Alaska,61.370716,-152.404419,3.172
Arizona,33.729759,-111.431221,2.667
Arkansas,34.969704,-92.373123,2.384
California,36.116203,-119.681564,3.522
Colorado,39.059811,-105.311104,2.511
Connecticut,41.597782,-72.755371,2.742
Delaware,39.318523,-75.507141,2.603
District of Columbia,38.897438,-77.026817,2.834
Florida,27.766279,-81.686783,2.614
Georgia,33.040619,-83.643074,2.575
Hawaii,21.094318,-157.498337,3.526
Idaho,44.240459,-114.478828,2.882
Illinois,40.349457,-88.986137,2.704
Indiana,39.849426,-86.258278,2.652
Iowa,42.011539,-93.210526,2.53
Kansas,38.5266,-96.726486,2.459
Kentucky,37.66814,-84.670067,2.568
Louisiana,31.169546,-91.867805,2.44
Maine,44.693947,-69.381927,2.668
Maryland,39.063946,-76.802101,2.676
Massachusetts,42.230171,-71.530106,2.623
Michigan,43.326618,-84.536095,2.676
Minnesota,45.694454,-93.900192,2.493
Mississippi,32.741646,-89.678696,2.398
Missouri,38.456085,-92.288368,2.386
Montana,46.921925,-110.454353,2.597
Nebraska,41.12537,-98.268082,2.551
Nevada,38.313515,-117.055374,3.059
New Hampshire,43.452492,-71.563896,2.576
New Jersey,40.298904,-74.521011,2.687
New Mexico,34.840515,-106.248482,2.598
New York,42.165726,-74.948051,2.763
North Carolina,35.630066,-79.806419,2.56
North Dakota,47.528912,-99.784012,2.584
Ohio,40.388783,-82.764915,2.558
Oklahoma,35.565342,-96.928917,2.401
Oregon,44.572021,-122.070938,3.104
Pennsylvania,40.590752,-77.209755,2.868
Rhode Island,41.680893,-71.51178,2.633
South Carolina,33.856892,-80.945007,2.431
South Dakota,44.299782,-99.438828,2.593
Tennessee,35.747845,-86.692345,2.46
Texas,31.054487,-97.563461,2.425
Utah,40.150032,-111.862434,2.804
Vermont,44.045876,-72.710686,2.662
Virginia,37.769337,-78.169968,2.472
Washington,47.400902,-121.490494,3.188
West Virginia,38.491226,-80.954453,2.622
Wisconsin,44.268543,-89.616508,2.529
Wyoming,42.755966,-107.30249,2.522
